Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23559000000000,0.00000000000000,1.09820000000000,0,Composed: Copy with GPU GDI,0.14470000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23635070000000,0.00000000000000,0.76070000000000,0,Composed: Copy with GPU GDI,0.47020000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23687270000000,0.00000000000000,0.52200000000000,0,Composed: Copy with GPU GDI,0.22580000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23746220000000,0.00000000000000,0.58950000000000,0,Composed: Copy with GPU GDI,0.10740000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23800570000000,0.00000000000000,0.54350000000000,0,Composed: Copy with GPU GDI,0.10970000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23840710000000,0.00000000000000,0.40140000000000,0,Composed: Copy with GPU GDI,0.10550000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23875620000000,0.00000000000000,0.34910000000000,0,Composed: Copy with GPU GDI,0.10340000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.23919840000000,0.00000000000000,0.44220000000000,0,Composed: Copy with GPU GDI,0.12230000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,0,6.23993200000000,0.00000000000000,0.73360000000000,0,Composed: Copy with GPU GDI,0.12690000000000,7.51570000000000,6.91190000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.24094970000000,0.00000000000000,1.01770000000000,0,Composed: Copy with GPU GDI,0.62060000000000,0.00000000000000,0.00000000000000
